Provincia,Accesos por cada 100 hogares
Buenos Aires,2068.63
Capital Federal,3724.69
Catamarca,1129.05
Chaco,1073.75
Chubut,1658.98
Corrientes,1133.32
Córdoba,2146.68
Entre Ríos,1650.34
Formosa,830.34
Jujuy,1118.43
La Pampa,2281.61
La Rioja,1291.66
Mendoza,1189.76
Misiones,1122.77
Neuquén,2006.4
Río Negro,1724.18
Salta,1334.66
San Juan,1059.1200000000001
San Luis,1342.46
Santa Cruz,1055.89
Santa Fe,2027.27
Santiago Del Estero,1029.58
Tierra Del Fuego,2535.94
Tucumán,1406.98
