Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros)
2022,1,Buenos Aires,3340707,3044152,230,14,50
2022,1,Capital Federal,1508031,1374162,104,6,22
2022,1,Catamarca,30167,27489,2,134,458
2022,1,Chaco,84847,77315,5,377,1
2022,1,Chubut,72602,66157,5,322,1
2022,1,Córdoba,579744,528280,40,2,8
2022,1,Corrientes,88953,81057,6,395,1
2022,1,Entre Ríos,189649,172813,13,842,2
2022,1,Formosa,33824,30821,2,150,514
2022,1,Jujuy,48709,44385,3,216,740
2022,1,La Pampa,72052,65656,4,320,1
2022,1,La Rioja,27504,25062,1,122,418
2022,1,Mendoza,196157,178743,13,871,2
2022,1,Misiones,91333,83226,6,405,1
2022,1,Neuquén,74114,67535,5,329,1
2022,1,Río Negro,83067,75693,5,369,1
2022,1,Salta,109105,99420,7,484,1
2022,1,San Juan,74775,68137,5,332,1
2022,1,San Luis,34398,31345,2,153,522
2022,1,Santa Cruz,26956,24563,1,120,409
2022,1,Santa Fe,629111,573265,43,2,9
2022,1,Santiago del Estero,67522,61527,4,300,1
2022,1,Tierra del Fuego,21573,19657,1,96,328
2022,1,Tucumán,185032,168607,12,821,2
2021,4,Buenos Aires,3313370,3012453,234,14,51
2021,4,Capital Federal,1439097,1308400,101,6,22
2021,4,Catamarca,29635,26944,2,133,465
2021,4,Chaco,90829,82580,6,408,1
2021,4,Chubut,68209,62015,4,306,1
2021,4,Córdoba,583715,530703,41,2,9
2021,4,Corrientes,97971,89073,6,440,1
2021,4,Entre Ríos,207536,188688,14,932,3
2021,4,Formosa,36411,33104,2,164,571
2021,4,Jujuy,44258,40239,3,199,694
2021,4,La Pampa,71751,65235,5,322,1
2021,4,La Rioja,26765,24334,1,120,420
2021,4,Mendoza,204522,185947,14,919,3
2021,4,Misiones,98622,89666,6,443,1
2021,4,Neuquén,72616,66022,5,326,1
2021,4,Río Negro,86287,78450,6,388,1
2021,4,Salta,120291,109367,8,540,1
2021,4,San Juan,66631,60580,4,299,1
2021,4,San Luis,33020,30022,2,148,518
2021,4,Santa Cruz,27740,25220,1,125,435
2021,4,Santa Fe,655796,596238,46,2,10
2021,4,Santiago del Estero,66649,60596,4,299,1
2021,4,Tierra del Fuego,18937,17217,1,85,297
2021,4,Tucumán,165702,150653,11,744,2
2021,3,Buenos Aires,3164518,2852029,242,15,54
2021,3,Capital Federal,1367485,1232448,104,6,23
2021,3,Catamarca,24683,22245,1,121,426
2021,3,Chaco,73770,66485,5,361,1
2021,3,Chubut,73086,65869,5,357,1
2021,3,Córdoba,484017,436222,37,2,8
2021,3,Corrientes,78053,70346,5,381,1
2021,3,Entre Ríos,164023,147826,12,802,2
2021,3,Formosa,30471,27462,2,149,526
2021,3,Jujuy,35160,31688,2,172,607
2021,3,La Pampa,71728,64644,5,351,1
2021,3,La Rioja,21614,19479,1,106,373
2021,3,Mendoza,196028,176671,15,958,3
2021,3,Misiones,78868,71080,6,385,1
2021,3,Neuquén,74203,66876,5,363,1
2021,3,Río Negro,83724,75456,6,409,1
2021,3,Salta,93818,84554,7,458,1
2021,3,San Juan,74837,67447,5,366,1
2021,3,San Luis,34431,31031,2,168,594
2021,3,Santa Cruz,26961,24299,2,132,465
2021,3,Santa Fe,539814,486509,41,2,9
2021,3,Santiago del Estero,57376,51711,4,280,990
2021,3,Tierra del Fuego,21573,19443,1,105,372
2021,3,Tucumán,133062,119923,10,650,2
2021,2,Buenos Aires,3313370,3012453,234,14,51
2021,2,Capital Federal,1439097,1308400,101,6,22
2021,2,Catamarca,29635,26944,2,133,465
2021,2,Chaco,90829,82580,6,408,1
2021,2,Chubut,68209,62015,4,306,1
2021,2,Córdoba,583715,530703,41,2,9
2021,2,Corrientes,97971,89073,6,440,1
2021,2,Entre Ríos,207536,188688,14,932,3
2021,2,Formosa,36411,33104,2,164,571
2021,2,Jujuy,44258,40239,3,199,694
2021,2,La Pampa,71751,65235,5,322,1
2021,2,La Rioja,26765,24334,1,120,420
2021,2,Mendoza,204522,185947,14,919,3
2021,2,Misiones,98622,89666,6,443,1
2021,2,Neuquén,72616,66022,5,326,1
2021,2,Río Negro,86287,78450,6,388,1
2021,2,Salta,120291,109367,8,540,1
2021,2,San Juan,66631,60580,4,299,1
2021,2,San Luis,33020,30022,2,148,518
2021,2,Santa Cruz,27740,25220,1,125,435
2021,2,Santa Fe,655796,596238,46,2,10
2021,2,Santiago del Estero,66649,60596,4,299,1
2021,2,Tierra del Fuego,18937,17217,1,85,297
2021,2,Tucumán,165702,150653,11,744,2
2021,1,Buenos Aires,3203761,2874157,247,15,66
2021,1,Capital Federal,1395627,1252044,108,6,28
2021,1,Catamarca,26597,23860,2,126,552
2021,1,Chaco,75834,68032,5,359,1
2021,1,Chubut,73068,65551,5,345,1
2021,1,Córdoba,523748,469865,40,2,10
2021,1,Corrientes,78850,70737,6,373,1
2021,1,Entre Ríos,168446,151117,13,796,3
2021,1,Formosa,31265,28048,2,148,649
2021,1,Jujuy,42953,38534,3,203,892
2021,1,La Pampa,71152,63832,5,336,1
2021,1,La Rioja,24254,21759,1,115,503
2021,1,Mendoza,196315,176118,15,928,4
2021,1,Misiones,82076,73632,6,388,1
2021,1,Neuquén,74404,66749,5,352,1
2021,1,Río Negro,82669,74164,6,391,1
2021,1,Salta,96214,86315,7,455,1
2021,1,San Juan,74837,67138,5,354,1
2021,1,San Luis,34431,30888,2,163,715
2021,1,Santa Cruz,26930,24160,2,127,559
2021,1,Santa Fe,570118,511464,44,2,11
2021,1,Santiago del Estero,62157,55762,4,294,1
2021,1,Tierra del Fuego,21573,19353,1,102,448
2021,1,Tucumán,163185,146397,12,771,3
2020,4,Buenos Aires,3232457,2906464,254,14,56
2020,4,Capital Federal,1423882,1280284,112,6,24
2020,4,Catamarca,33525,30145,2,155,588
2020,4,Chaco,81113,72933,6,376,1
2020,4,Chubut,73019,65655,5,339,1
2020,4,Córdoba,535102,481136,42,2,9
2020,4,Corrientes,85319,76714,6,396,1
2020,4,Entre Ríos,178988,160937,14,830,3
2020,4,Formosa,34057,30623,2,158,597
2020,4,Jujuy,45686,41079,3,212,801
2020,4,La Pampa,70628,63505,5,328,1
2020,4,La Rioja,29306,26351,2,136,514
2020,4,Mendoza,196388,176583,15,911,3
2020,4,Misiones,85762,77112,6,398,1
2020,4,Neuquén,74546,67028,5,346,1
2020,4,Río Negro,84513,75990,6,392,1
2020,4,Salta,101610,91363,7,471,1
2020,4,San Juan,74837,67290,5,347,1
2020,4,San Luis,34431,30958,2,160,604
2020,4,Santa Cruz,27239,24492,2,126,478
2020,4,Santa Fe,592374,532634,46,2,10
2020,4,Santiago del Estero,66338,59647,5,308,1
2020,4,Tierra del Fuego,21573,19398,1,100,378
2020,4,Tucumán,181343,163055,14,841,3
2020,3,Buenos Aires,3233324,2919939,236,15,61
2020,3,Capital Federal,1433000,1294110,104,6,27
2020,3,Catamarca,33596,30339,2,164,640
2020,3,Chaco,82542,74542,6,403,1
2020,3,Chubut,72950,65879,5,356,1
2020,3,Córdoba,549383,496134,40,2,10
2020,3,Corrientes,86349,77979,6,422,1
2020,3,Entre Ríos,181304,163732,13,885,3
2020,3,Formosa,34864,31485,2,170,664
2020,3,Jujuy,46331,41841,3,226,882
2020,3,La Pampa,70536,63699,5,344,1
2020,3,La Rioja,29404,26553,2,144,560
2020,3,Mendoza,196383,177349,14,959,3
2020,3,Misiones,88884,80269,6,434,1
2020,3,Neuquén,74481,67261,5,364,1
2020,3,Río Negro,85239,76977,6,416,1
2020,3,Salta,103159,93160,7,504,1
2020,3,San Juan,74844,67590,5,365,1
2020,3,San Luis,34436,31098,2,168,656
2020,3,Santa Cruz,27279,24635,1,133,519
2020,3,Santa Fe,624379,563862,45,3,11
2020,3,Santiago del Estero,66338,59908,4,324,1
2020,3,Tierra del Fuego,21573,19482,1,105,411
2020,3,Tucumán,181967,164330,13,888,3
2020,2,Buenos Aires,3232457,2906464,254,14,56
2020,2,Capital Federal,1423882,1280284,112,6,24
2020,2,Catamarca,33525,30145,2,155,588
2020,2,Chaco,81113,72933,6,376,1
2020,2,Chubut,73019,65655,5,339,1
2020,2,Córdoba,535102,481136,42,2,9
2020,2,Corrientes,85319,76714,6,396,1
2020,2,Entre Ríos,178988,160937,14,830,3
2020,2,Formosa,34057,30623,2,158,597
2020,2,Jujuy,45686,41079,3,212,801
2020,2,La Pampa,70628,63505,5,328,1
2020,2,La Rioja,29306,26351,2,136,514
2020,2,Mendoza,196388,176583,15,911,3
2020,2,Misiones,85762,77112,6,398,1
2020,2,Neuquén,74546,67028,5,346,1
2020,2,Río Negro,84513,75990,6,392,1
2020,2,Salta,101610,91363,7,471,1
2020,2,San Juan,74837,67290,5,347,1
2020,2,San Luis,34431,30958,2,160,604
2020,2,Santa Cruz,27239,24492,2,126,478
2020,2,Santa Fe,592374,532634,46,2,10
2020,2,Santiago del Estero,66338,59647,5,308,1
2020,2,Tierra del Fuego,21573,19398,1,100,378
2020,2,Tucumán,181343,163055,14,841,3
2020,1,Buenos Aires,3261264,2925747,261,14,59
2020,1,Capital Federal,1456196,1306383,116,6,26
2020,1,Catamarca,29743,26683,2,132,543
2020,1,Chaco,84041,75394,6,372,1
2020,1,Chubut,78692,70596,6,348,1
2020,1,Córdoba,574075,515015,46,2,10
2020,1,Corrientes,87649,78631,7,388,1
2020,1,Entre Ríos,186835,167614,14,826,3
2020,1,Formosa,34562,31006,2,153,631
2020,1,Jujuy,47985,43049,3,212,876
2020,1,La Pampa,70733,63456,5,313,1
2020,1,La Rioja,27079,24292,2,120,495
2020,1,Mendoza,210725,189045,16,932,3
2020,1,Misiones,90832,81487,7,402,1
2020,1,Neuquén,77487,69515,6,343,1
2020,1,Río Negro,88260,79180,7,390,1
2020,1,Salta,107506,96447,8,475,1
2020,1,San Juan,78502,70426,6,347,1
2020,1,San Luis,36334,32595,2,161,664
2020,1,Santa Cruz,29360,26340,2,130,536
2020,1,Santa Fe,624563,560308,50,2,11
2020,1,Santiago del Estero,67237,60320,5,297,1
2020,1,Tierra del Fuego,23550,21127,1,104,430
2020,1,Tucumán,182424,163656,14,807,3
2019,4,Buenos Aires,3348525,2994702,266,14,71
2019,4,Capital Federal,1478871,1322606,117,6,31
2019,4,Catamarca,31113,27826,2,138,669
2019,4,Chaco,86928,77742,6,387,1
2019,4,Chubut,81784,73142,6,364,1
2019,4,Córdoba,604424,540558,48,2,12
2019,4,Corrientes,89969,80463,7,400,1
2019,4,Entre Ríos,191513,171277,15,852,4
2019,4,Formosa,35319,31587,2,157,759
2019,4,Jujuy,49460,44234,3,220,1
2019,4,La Pampa,71332,63795,5,317,1
2019,4,La Rioja,28349,25354,2,126,609
2019,4,Mendoza,218661,195556,17,973,4
2019,4,Misiones,93753,83847,7,417,2
2019,4,Neuquén,78963,70620,6,351,1
2019,4,Río Negro,91113,81486,7,405,1
2019,4,Salta,110873,99158,8,493,2
2019,4,San Juan,80524,72016,6,358,1
2019,4,San Luis,37794,33801,3,168,812
2019,4,Santa Cruz,30409,27196,2,135,654
2019,4,Santa Fe,643060,575111,51,2,13
2019,4,Santiago del Estero,68405,61178,5,304,1
2019,4,Tierra del Fuego,24283,21717,1,108,522
2019,4,Tucumán,187391,167590,14,834,4
2019,3,Buenos Aires,3414932,3058655,268,14,73
2019,3,Capital Federal,1497396,1341174,117,6,32
2019,3,Catamarca,32676,29267,2,142,701
2019,3,Chaco,88269,79060,6,384,1
2019,3,Chubut,83907,75153,6,365,1
2019,3,Córdoba,612366,548479,48,2,13
2019,3,Corrientes,91158,81648,7,396,1
2019,3,Entre Ríos,194253,173987,15,845,4
2019,3,Formosa,35966,32214,2,156,772
2019,3,Jujuy,50113,44885,3,218,1
2019,3,La Pampa,63774,57121,5,277,1
2019,3,La Rioja,29547,26464,2,129,634
2019,3,Mendoza,225668,202124,17,982,4
2019,3,Misiones,95865,85864,7,417,2
2019,3,Neuquén,80350,71967,6,349,1
2019,3,Río Negro,94207,84378,7,410,2
2019,3,Salta,113707,101844,8,495,2
2019,3,San Juan,82462,73858,6,359,1
2019,3,San Luis,39274,35177,3,171,842
2019,3,Santa Cruz,32023,28682,2,139,687
2019,3,Santa Fe,647965,580363,50,2,13
2019,3,Santiago del Estero,69371,62133,5,302,1
2019,3,Tierra del Fuego,25143,22521,1,109,539
2019,3,Tucumán,192297,172235,15,836,4
2019,2,Buenos Aires,3348525,2994702,266,14,71
2019,2,Capital Federal,1478871,1322606,117,6,31
2019,2,Catamarca,31113,27826,2,138,669
2019,2,Chaco,86928,77742,6,387,1
2019,2,Chubut,81784,73142,6,364,1
2019,2,Córdoba,604424,540558,48,2,12
2019,2,Corrientes,89969,80463,7,400,1
2019,2,Entre Ríos,191513,171277,15,852,4
2019,2,Formosa,35319,31587,2,157,759
2019,2,Jujuy,49460,44234,3,220,1
2019,2,La Pampa,71332,63795,5,317,1
2019,2,La Rioja,28349,25354,2,126,609
2019,2,Mendoza,218661,195556,17,973,4
2019,2,Misiones,93753,83847,7,417,2
2019,2,Neuquén,78963,70620,6,351,1
2019,2,Río Negro,91113,81486,7,405,1
2019,2,Salta,110873,99158,8,493,2
2019,2,San Juan,80524,72016,6,358,1
2019,2,San Luis,37794,33801,3,168,812
2019,2,Santa Cruz,30409,27196,2,135,654
2019,2,Santa Fe,643060,575111,51,2,13
2019,2,Santiago del Estero,68405,61178,5,304,1
2019,2,Tierra del Fuego,24283,21717,1,108,522
2019,2,Tucumán,187391,167590,14,834,4
2019,1,Buenos Aires,3563157,3149299,280,14,118
2019,1,Capital Federal,1599798,1413982,125,6,53
2019,1,Catamarca,36178,31976,2,151,1
2019,1,Chaco,93703,82819,7,392,3
2019,1,Chubut,88768,78458,6,371,2
2019,1,Córdoba,656248,580025,51,2,21
2019,1,Corrientes,95050,84010,7,398,3
2019,1,Entre Ríos,203743,180079,16,852,6
2019,1,Formosa,37799,33409,2,158,1
2019,1,Jujuy,51824,45804,4,217,1
2019,1,La Pampa,65887,58234,5,276,2
2019,1,La Rioja,32830,29017,2,137,1
2019,1,Mendoza,241006,213013,18,1,8
2019,1,Misiones,101672,89863,8,425,3
2019,1,Neuquén,83521,73821,6,349,2
2019,1,Río Negro,100373,88715,7,420,3
2019,1,Salta,122902,108627,9,514,4
2019,1,San Juan,85905,75928,6,359,2
2019,1,San Luis,42908,37925,3,179,1
2019,1,Santa Cruz,34171,30202,2,143,1
2019,1,Santa Fe,685178,605596,53,2,22
2019,1,Santiago del Estero,72886,64420,5,305,2
2019,1,Tierra del Fuego,25181,22257,1,105,837
2019,1,Tucumán,206715,182705,16,865,6
2018,4,Buenos Aires,4558545,4074597,332,18,132
2018,4,Capital Federal,1753365,1567223,127,7,51
2018,4,Catamarca,36970,33046,2,150,1
2018,4,Chaco,95754,85588,6,389,2
2018,4,Chubut,117520,105044,8,477,3
2018,4,Córdoba,671019,599782,48,2,19
2018,4,Corrientes,96921,86631,7,394,2
2018,4,Entre Ríos,207407,185388,15,842,6
2018,4,Formosa,38705,34596,2,157,1
2018,4,Jujuy,52432,46865,3,213,1
2018,4,La Pampa,76460,68342,5,311,2
2018,4,La Rioja,33864,30268,2,138,986
2018,4,Mendoza,360697,322404,26,1,10
2018,4,Misiones,104246,93179,7,423,3
2018,4,Neuquén,109166,97577,7,443,3
2018,4,Río Negro,139693,124863,10,567,4
2018,4,Salta,126296,112888,9,513,3
2018,4,San Juan,115257,103021,8,468,3
2018,4,San Luis,51830,46328,3,210,1
2018,4,Santa Cruz,44277,39576,3,180,1
2018,4,Santa Fe,697606,623546,50,2,20
2018,4,Santiago del Estero,74168,66295,5,301,2
2018,4,Tierra del Fuego,33372,29828,2,136,972
2018,4,Tucumán,210346,188016,15,854,6
2018,3,Buenos Aires,4492692,4011556,328,17,134
2018,3,Capital Federal,1775534,1585386,129,7,53
2018,3,Catamarca,37877,33820,2,152,1
2018,3,Chaco,91629,81816,6,367,2
2018,3,Chubut,116981,104453,8,469,3
2018,3,Córdoba,674653,602402,49,2,20
2018,3,Corrientes,94809,84656,6,380,2
2018,3,Entre Ríos,200199,178759,14,802,5
2018,3,Formosa,39405,35185,2,158,1
2018,3,Jujuy,53058,47376,3,212,1
2018,3,La Pampa,75708,67601,5,303,2
2018,3,La Rioja,34553,30853,2,138,1
2018,3,Mendoza,360459,321856,26,1,10
2018,3,Misiones,103894,92768,7,416,3
2018,3,Neuquén,97134,86731,7,389,2
2018,3,Río Negro,139713,124750,10,560,4
2018,3,Salta,129587,115710,9,519,3
2018,3,San Juan,115192,102856,8,461,3
2018,3,San Luis,44305,39561,3,177,1
2018,3,Santa Cruz,44198,39464,3,177,1
2018,3,Santa Fe,672622,600589,49,2,20
2018,3,Santiago del Estero,53667,47920,3,215,1
2018,3,Tierra del Fuego,33372,29798,2,134,998
2018,3,Tucumán,213747,190856,15,856,6
2018,2,Buenos Aires,4477907,3986269,328,17,145
2018,2,Capital Federal,1742825,1551477,127,6,56
2018,2,Catamarca,38159,33970,2,151,1
2018,2,Chaco,97970,87214,7,388,3
2018,2,Chubut,117005,104159,8,464,3
2018,2,Córdoba,683794,608719,50,2,22
2018,2,Corrientes,99001,88131,7,393,3
2018,2,Entre Ríos,213670,190211,15,847,6
2018,2,Formosa,39741,35377,2,158,1
2018,2,Jujuy,53642,47752,3,213,1
2018,2,La Pampa,75704,67392,5,300,2
2018,2,La Rioja,35170,31309,2,139,1
2018,2,Mendoza,360453,320879,26,1,11
2018,2,Misiones,108094,96226,7,429,3
2018,2,Neuquén,97148,86482,7,385,3
2018,2,Río Negro,139757,124413,10,554,4
2018,2,Salta,131938,117452,9,523,4
2018,2,San Juan,115192,102544,8,457,3
2018,2,San Luis,44326,39459,3,176,1
2018,2,Santa Cruz,44258,39399,3,175,1
2018,2,Santa Fe,685345,610100,50,2,22
2018,2,Santiago del Estero,55208,49146,4,219,1
2018,2,Tierra del Fuego,33372,29708,2,132,1
2018,2,Tucumán,214298,190770,15,850,6
2018,1,Buenos Aires,4437761,3897738,326,17,196
2018,1,Capital Federal,1732094,1521319,127,6,76
2018,1,Catamarca,38375,33705,2,149,1
2018,1,Chaco,99037,86985,7,384,4
2018,1,Chubut,113978,100108,8,442,5
2018,1,Córdoba,691843,607654,50,2,30
2018,1,Corrientes,99564,87448,7,386,4
2018,1,Entre Ríos,215675,189431,15,835,9
2018,1,Formosa,40111,35230,2,155,1
2018,1,Jujuy,54304,47696,3,210,2
2018,1,La Pampa,75269,66109,5,292,3
2018,1,La Rioja,35980,31602,2,139,1
2018,1,Mendoza,360420,316562,26,1,15
2018,1,Misiones,103398,90815,7,401,4
2018,1,Neuquén,97217,85386,7,377,4
2018,1,Río Negro,139844,122826,10,542,6
2018,1,Salta,134030,117720,9,519,5
2018,1,San Juan,115192,101175,8,446,5
2018,1,San Luis,44327,38933,3,172,1
2018,1,Santa Cruz,44206,38827,3,171,1
2018,1,Santa Fe,689027,605181,50,2,30
2018,1,Santiago del Estero,57141,50188,4,221,2
2018,1,Tierra del Fuego,33372,29311,2,129,1
2018,1,Tucumán,214755,188622,15,832,9
2017,4,Buenos Aires,4881863,4268288,343,18,252
2017,4,Capital Federal,1618260,1414870,113,5,83
2017,4,Catamarca,38665,33805,2,143,1
2017,4,Chaco,102077,89247,7,377,5
2017,4,Chubut,122592,107185,8,452,6
2017,4,Córdoba,704306,615786,49,2,36
2017,4,Corrientes,102049,89223,7,376,5
2017,4,Entre Ríos,223126,195082,15,823,11
2017,4,Formosa,41139,35968,2,152,2
2017,4,Jujuy,56418,49327,3,208,2
2017,4,La Pampa,83364,72886,5,308,4
2017,4,La Rioja,37770,33023,2,139,1
2017,4,Mendoza,381118,333217,26,1,19
2017,4,Misiones,115189,100711,8,425,5
2017,4,Neuquén,101846,89046,7,376,5
2017,4,Río Negro,145598,127299,10,537,7
2017,4,Salta,139346,121832,9,514,7
2017,4,San Juan,114113,99771,8,421,5
2017,4,San Luis,53797,47036,3,198,2
2017,4,Santa Cruz,47233,41297,3,174,2
2017,4,Santa Fe,742944,649567,52,2,38
2017,4,Santiago del Estero,64481,56376,4,238,3
2017,4,Tierra del Fuego,38952,34056,2,144,2
2017,4,Tucumán,211561,184971,14,781,10
2017,3,Buenos Aires,4780187,4166450,341,17,254
2017,3,Capital Federal,1605054,1398978,114,5,85
2017,3,Catamarca,38840,33853,2,142,2
2017,3,Chaco,102824,89623,7,376,5
2017,3,Chubut,118225,103046,8,433,6
2017,3,Córdoba,704433,613989,50,2,37
2017,3,Corrientes,102558,89391,7,375,5
2017,3,Entre Ríos,224703,195853,16,822,11
2017,3,Formosa,41233,35939,2,151,2
2017,3,Jujuy,56581,49316,4,207,3
2017,3,La Pampa,82810,72178,5,303,4
2017,3,La Rioja,38014,33133,2,139,2
2017,3,Mendoza,377803,329297,27,1,20
2017,3,Misiones,110690,96478,7,405,5
2017,3,Neuquén,101751,88687,7,372,5
2017,3,Río Negro,143888,125414,10,526,7
2017,3,Salta,139723,121784,9,511,7
2017,3,San Juan,112398,97968,8,411,5
2017,3,San Luis,53793,46886,3,197,2
2017,3,Santa Cruz,44728,38985,3,164,2
2017,3,Santa Fe,739999,644988,52,2,39
2017,3,Santiago del Estero,65541,57126,4,240,3
2017,3,Tierra del Fuego,38815,33832,2,142,2
2017,3,Tucumán,211547,184386,15,774,11
2017,2,Buenos Aires,4916108,4280149,359,18,258
2017,2,Capital Federal,1580199,1375781,115,5,83
2017,2,Catamarca,38551,33564,2,141,2
2017,2,Chaco,103002,89678,7,378,5
2017,2,Chubut,115321,100403,8,423,6
2017,2,Córdoba,703322,612339,51,2,36
2017,2,Corrientes,102444,89192,7,376,5
2017,2,Entre Ríos,225017,195908,16,826,11
2017,2,Formosa,40743,35472,2,150,2
2017,2,Jujuy,56381,49087,4,207,2
2017,2,La Pampa,81939,71338,5,301,4
2017,2,La Rioja,37869,32970,2,139,1
2017,2,Mendoza,370071,322197,27,1,19
2017,2,Misiones,110533,96234,8,406,5
2017,2,Neuquén,98956,86155,7,363,5
2017,2,Río Negro,141053,122805,10,518,7
2017,2,Salta,139208,121199,10,511,7
2017,2,San Juan,107299,93418,7,394,5
2017,2,San Luis,53178,46299,3,195,2
2017,2,Santa Cruz,44254,38530,3,162,2
2017,2,Santa Fe,741843,645875,54,2,38
2017,2,Santiago del Estero,66024,57484,4,242,3
2017,2,Tierra del Fuego,37976,33064,2,139,1
2017,2,Tucumán,210228,183031,15,772,11
2017,1,Buenos Aires,4872542,4259081,343,18,252
2017,1,Capital Federal,1608800,1406249,113,5,83
2017,1,Catamarca,38665,33797,2,143,2
2017,1,Chaco,102077,89226,7,377,5
2017,1,Chubut,122592,107157,8,453,6
2017,1,Córdoba,702744,614267,49,2,36
2017,1,Corrientes,102049,89201,7,377,5
2017,1,Entre Ríos,223126,195034,15,825,11
2017,1,Formosa,41139,35959,2,152,2
2017,1,Jujuy,56418,49314,3,209,2
2017,1,La Pampa,83364,72868,5,308,4
2017,1,La Rioja,37770,33015,2,140,1
2017,1,Mendoza,381118,333135,26,1,19
2017,1,Misiones,115189,100687,8,426,5
2017,1,Neuquén,101846,89023,7,376,5
2017,1,Río Negro,145598,127267,10,538,7
2017,1,Salta,139346,121802,9,515,7
2017,1,San Juan,114113,99745,8,422,5
2017,1,San Luis,53797,47024,3,199,2
2017,1,Santa Cruz,47233,41286,3,175,2
2017,1,Santa Fe,741856,648454,52,2,38
2017,1,Santiago del Estero,64481,56363,4,238,3
2017,1,Tierra del Fuego,38952,34047,2,144,2
2017,1,Tucumán,211561,184925,14,782,10
2016,4,Buenos Aires,4881863,4268288,343,18,252
2016,4,Capital Federal,1618260,1414870,113,5,83
2016,4,Catamarca,38665,33805,2,143,1
2016,4,Chaco,102077,89247,7,377,5
2016,4,Chubut,122592,107185,8,452,6
2016,4,Córdoba,704306,615786,49,2,36
2016,4,Corrientes,102049,89223,7,376,5
2016,4,Entre Ríos,223126,195082,15,823,11
2016,4,Formosa,41139,35968,2,152,2
2016,4,Jujuy,56418,49327,3,208,2
2016,4,La Pampa,83364,72886,5,308,4
2016,4,La Rioja,37770,33023,2,139,1
2016,4,Mendoza,381118,333217,26,1,19
2016,4,Misiones,115189,100711,8,425,5
2016,4,Neuquén,101846,89046,7,376,5
2016,4,Río Negro,145598,127299,10,537,7
2016,4,Salta,139346,121832,9,514,7
2016,4,San Juan,114113,99771,8,421,5
2016,4,San Luis,53797,47036,3,198,2
2016,4,Santa Cruz,47233,41297,3,174,2
2016,4,Santa Fe,742944,649567,52,2,38
2016,4,Santiago del Estero,64481,56376,4,238,3
2016,4,Tierra del Fuego,38952,34056,2,144,2
2016,4,Tucumán,211561,184971,14,781,10
2016,3,Buenos Aires,4780187,4166450,341,17,254
2016,3,Capital Federal,1605054,1398978,114,5,85
2016,3,Catamarca,38840,33853,2,142,2
2016,3,Chaco,102824,89623,7,376,5
2016,3,Chubut,118225,103046,8,433,6
2016,3,Córdoba,704433,613989,50,2,37
2016,3,Corrientes,102558,89391,7,375,5
2016,3,Entre Ríos,224703,195853,16,822,11
2016,3,Formosa,41233,35939,2,151,2
2016,3,Jujuy,56581,49316,4,207,3
2016,3,La Pampa,82810,72178,5,303,4
2016,3,La Rioja,38014,33133,2,139,2
2016,3,Mendoza,377803,329297,27,1,20
2016,3,Misiones,110690,96478,7,405,5
2016,3,Neuquén,101751,88687,7,372,5
2016,3,Río Negro,143888,125414,10,526,7
2016,3,Salta,139723,121784,9,511,7
2016,3,San Juan,112398,97968,8,411,5
2016,3,San Luis,53793,46886,3,197,2
2016,3,Santa Cruz,44728,38985,3,164,2
2016,3,Santa Fe,739999,644988,52,2,39
2016,3,Santiago del Estero,65541,57126,4,240,3
2016,3,Tierra del Fuego,38815,33832,2,142,2
2016,3,Tucumán,211547,184386,15,774,11
2016,2,Buenos Aires,4916108,4280149,359,18,258
2016,2,Capital Federal,1580199,1375781,115,5,83
2016,2,Catamarca,38551,33564,2,141,2
2016,2,Chaco,103002,89678,7,378,5
2016,2,Chubut,115321,100403,8,423,6
2016,2,Córdoba,703322,612339,51,2,36
2016,2,Corrientes,102444,89192,7,376,5
2016,2,Entre Ríos,225017,195908,16,826,11
2016,2,Formosa,40743,35472,2,150,2
2016,2,Jujuy,56381,49087,4,207,2
2016,2,La Pampa,81939,71338,5,301,4
2016,2,La Rioja,37869,32970,2,139,1
2016,2,Mendoza,370071,322197,27,1,19
2016,2,Misiones,110533,96234,8,406,5
2016,2,Neuquén,98956,86155,7,363,5
2016,2,Río Negro,141053,122805,10,518,7
2016,2,Salta,139208,121199,10,511,7
2016,2,San Juan,107299,93418,7,394,5
2016,2,San Luis,53178,46299,3,195,2
2016,2,Santa Cruz,44254,38530,3,162,2
2016,2,Santa Fe,741843,645875,54,2,38
2016,2,Santiago del Estero,66024,57484,4,242,3
2016,2,Tierra del Fuego,37976,33064,2,139,1
2016,2,Tucumán,210228,183031,15,772,11
2016,1,Buenos Aires,4872542,4259081,343,18,252
2016,1,Capital Federal,1608800,1406249,113,5,83
2016,1,Catamarca,38665,33797,2,143,2
2016,1,Chaco,102077,89226,7,377,5
2016,1,Chubut,122592,107157,8,453,6
2016,1,Córdoba,702744,614267,49,2,36
2016,1,Corrientes,102049,89201,7,377,5
2016,1,Entre Ríos,223126,195034,15,825,11
2016,1,Formosa,41139,35959,2,152,2
2016,1,Jujuy,56418,49314,3,209,2
2016,1,La Pampa,83364,72868,5,308,4
2016,1,La Rioja,37770,33015,2,140,1
