Año,Trimestre,Ingresos_internet,Ingresos_tel_fija,Ingresos_movil
2022,1,51432896,24881132.36,130454716
2021,4,45467887,21378667.68,93112153
2021,3,42999944,22178751.89,104782020
2021,2,38239667,20789995.21,117751925
2021,1,36676371,40616059.17,127389786
2020,4,33539703,17067597.82,72077147
2020,3,31997445,21035522.89,73538944
2020,2,32102476,18162023.89,79634755
2020,1,29946216,19750303.98,83479114
2019,4,24169251,12238568.39,50246691
2019,3,21652748,14181055.21,55338816
2019,2,20743118,13404569.15,60905891
2019,1,20207414,20321577.16,65388842
2018,4,16637687,8252279.99,38733946
2018,3,15410981,7911723.07,40653502
2018,2,14319467,10111350.57,43280089
2018,1,13171459,8997157.88,44026803
2017,4,11226127,6375681.76,31205565
2017,3,10065998,6970617.22,33509264
2017,2,9678647,6667943.53,35711689
2017,1,8701201,5514336.19,38110028
2016,4,7483980,4198260.39,24763052
2016,3,6912442,4718769.82,25353971
2016,2,6534241,4951967.66,27416177
2016,1,5936845,4964596.39,30143233
2015,4,5376899,3260124.75,19337342
2015,3,5153739,3425518.48,19945453
2015,2,4701791,3590883.18,21785238
2015,1,4876385,3815364.12,24881967
2014,4,3950441,2916071.75,15938353
2014,3,3478638,2974865.2,17680972
2014,2,3270816,3105462.02,18976053
2014,1,2984054,3339690.9,20012332
